,app_name,rating,app_id,images
0,JEE Mains & JEE Advance 2024,4.4,jee.iit.latest,https://play-lh.googleusercontent.com/2wrbqcsMP-kVkNJvBIN-RhFPrUfLH5S0DS79FTH0OASGDT0GCGQMZMhL7NmM5tv92xQ=w240-h480
1,JEE Mains PYQ Questions,4.6,com.examgoal.jeemainpreparation.app,https://play-lh.googleusercontent.com/GXjm0N5PDH6WaaJn4g0ywaoPJZ3bau8EInrDJicYnDzU6shRCEoJsyD47XdXZmMkWRk=w240-h480
2,MARKS: IIT JEE & NEET Prep App,4.7,com.scoremarks.marks,https://play-lh.googleusercontent.com/LSHIcrtwQ3yjfzm87Ng4q4u4XkGsaZuPBVOmLRnRRpm6ok2FLQ_ZWpYFfeGvOh7c_g=w240-h480
3,IIT JEE Mains & Advanced Prep,4.4,com.edurev.iit,https://play-lh.googleusercontent.com/dO8otBHIAgUfDDqgkcwwGU5Y_it1h7TPVDtZpGrcxGi0N3b5ksYwNERZeQaYhdb0Qhs=w240-h480
4,Aakash App for JEE & NEET,4.0,com.byjus.aakash.thelearningapp,0
5,TopAll -NEET/JEE Test Series,3.6,com.topall.app,https://play-lh.googleusercontent.com/gksbHzSILh0anrDWFuMCw_0fWrj3Cvi7xUiyRMW3TJlaznqSZrIOSSxNTUqLp_bT5Ow=w240-h480
6,Rancho - The JEE App,4.7,in.boosters.rancho.premium,https://play-lh.googleusercontent.com/agcTdDaaIxsKIGX00Z61P7RnaonkttMCI2rrGlvj4iTZUjef0UwXsadcnKtzwgFWPzo=w240-h480
7,"ZEE5 Movies, Web Series, Shows",4.5,com.graymatrix.did,0
8,"IIT JEE /AIEEE Notes, PYQ, MCQ",4.2,com.jeeprep.examnotes,https://play-lh.googleusercontent.com/y35qeNknY_dju_F5f1htohFPBbQeE6vF3IG6erb7VUxznx6RhroGg7QjD-QbXpxu4Ow=w240-h480
9,"Krakex : NEET, JEE Main & Adv.",4.3,com.krakex.jee,https://play-lh.googleusercontent.com/6OJ-VzCAPBlnauDCyfp5czVo1Yr8Vn_Nmey3lMYse2ebQ1wZNwafIdDqG3o1wHCqDA=w240-h480
10,MathonGo - for IIT JEE | Board,4.4,com.learnacad.learnacad,https://play-lh.googleusercontent.com/hvHt5x4T05yvmGi1eDzRk9QGzaDtYXphh2VZAgf-PbVO4nffZFCToP-IukJLUkwZLPs=w240-h480
11,JEE One,4.7,com.jee.one,https://play-lh.googleusercontent.com/f_lO_97M_qQlOxB2IDxhO6cp1WeXlx52w-ZwfuIpvPUA6m9jP-1dbekqr8HlOxgI_VU=w240-h480
12,PHYSICS - JEE PAST YEAR PAPERS,4.5,com.rktech.jeemainphy,https://play-lh.googleusercontent.com/FCgbtRvIJIYMrq2Tmsvcm0bnGbDVLsLuJYqGjQwRc1KljpaJwY3SNlMjoMYYIZSiDQ=w240-h480
13,Test Bot - JEE MAIN,3.7,com.monkhub.testbot,0
14,ExamGOAL: JEE Adv Questions,4.4,com.examgoal.jeeadvancedpreparation.app,https://play-lh.googleusercontent.com/P0UZlmL8RYXl_ggxdJcxsOjMFwjQ6JGzDxvVC6gOwZ_9nn-3PbbwL8HXGg5htJxTPDyG=w240-h480
15,ATP STAR IIT JEE & NEET Prep,4.6,com.app.atpstar,https://play-lh.googleusercontent.com/l9Mfc5pa3apNcZ1CHn5pDbxM8huDtygixkSpZzAw1r6iqzSvJIyBezrpw8aDqd2hQg=w240-h480
16,"PW -JEE/NEET, UPSC, GATE, SSC",4.6,xyz.penpencil.physicswala,https://play-lh.googleusercontent.com/x5_bJXO_-4zH95U6-GSmZPHWX7iFe1JPmfGe26kV2fVrZS5Ebi7L_VFIOopAQ3XBDg=w240-h480
